rank,name,anime,favorites,url
1001,"Azazel, Amelie(アザゼル・アメリ)",Mairimashita! Iruma-kunMairimashita! Iruma-kun 2nd SeasonMairimashita! Iruma-kun 3rd Season,1802,https://myanimelist.net/character/154518/Amelie_Azazel
1002,"Ishida, Uryuu(石田 雨竜)",BleachBleach Movie 4: Jigoku-henBleach: Sennen Kessen-hen,1801,https://myanimelist.net/character/564/Uryuu_Ishida
1003,"Dracule, Mihawk(ジュラキュール・ミホーク)",One PieceOne Piece Film: Strong World Episode 0One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,1800,https://myanimelist.net/character/2064/Mihawk_Dracule
1004,"Speeddraw, Fremy(フレミー・スピッドロウ)",Rokka no YuushaRokka no Yuusha Picture Drama,1799,https://myanimelist.net/character/88577/Fremy_Speeddraw
1005,"Marvell, Wendy(ウェンディ・マーベル)",Fairy TailFairy Tail OVAFairy Tail Movie 1: Houou no Miko,1793,https://myanimelist.net/character/28886/Wendy_Marvell
1006,Kamui(神威),GintamaGintama Movie 1: Shinyaku Benizakura-henGintama',1791,https://myanimelist.net/character/12946/Kamui
1007,"Kajou, Ayame(華城 綾女)",Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,1789,https://myanimelist.net/character/115691/Ayame_Kajou
1008,Keyaru(ケヤル／ケヤルガ),Kaifuku Jutsushi no Yarinaoshi,1787,https://myanimelist.net/character/176631/Keyaru
1009,"Lawrence, Kraft(クラフト・ロレンス)",Ookami to KoushinryouOokami to Koushinryou IIOokami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,1786,https://myanimelist.net/character/7374/Kraft_Lawrence
1010,"Kani, Nayuta(可児 那由多)",Imouto sae Ireba Ii.Imouto sae Ireba Ii. (ONA),1784,https://myanimelist.net/character/125799/Nayuta_Kani
1011,Sabo(サボ),One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru IshiOne Piece: Araburu Henkaku no Log: Anyaku Suru Kakumeigun!One Piece,1784,https://myanimelist.net/character/32893/Sabo
1012,"Anderson, Alexander(アレクサンド・アンデルセン)",Hellsing UltimateHellsingHellsing: Digest for Freaks,1782,https://myanimelist.net/character/606/Alexander_Anderson
1013,"Kasuga, Arata(春日 アラタ)",Trinity SevenTrinity Seven: Nanatsu no Taizai to Nana MadoushiTrinity Seven Movie 1: Eternity Library to Alchemic Girl,1779,https://myanimelist.net/character/42391/Arata_Kasuga
1014,"Miniwa, Tsumiki(御庭 つみき)",Acchi KocchiAcchi Kocchi: Place=Princess,1777,https://myanimelist.net/character/55839/Tsumiki_Miniwa
1015,"Aihara, Yuzu(藍原 柚子)",Citrus,1775,https://myanimelist.net/character/83367/Yuzu_Aihara
1016,Jinshi(壬氏),Kusuriya no HitorigotoMaomao no HitorigotoKusuriya no Hitorigoto 2nd Season,1771,https://myanimelist.net/character/156096/Jinshi
1017,"Kaneda, Shoutarou(金田 正太郎)",Akira,1762,https://myanimelist.net/character/2588/Shoutarou_Kaneda
1018,Maple(メイプル),Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,1756,https://myanimelist.net/character/174332/Maple
1019,"Kirisu, Mafuyu(桐須 真冬)",Bokutachi wa Benkyou ga DekinaiBokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] SuruBokutachi wa Benkyou ga Dekinai!,1754,https://myanimelist.net/character/154056/Mafuyu_Kirisu
1020,"Mashiro, Moritaka(真城 最高)",Bakuman.Bakuman. 2nd SeasonBakuman. 3rd Season,1753,https://myanimelist.net/character/14545/Moritaka_Mashiro
1021,"Waguri, Kaoruko(和栗 薫子)",Kaoru Hana wa Rin to Saku,1752,https://myanimelist.net/character/211945/Kaoruko_Waguri
1022,"Kousaka, Honoka(高坂 穂乃果)","Bokura no Live Kimi to no LifeSnow HalationNatsu-iro Egao de 1, 2, Jump!",1751,https://myanimelist.net/character/46171/Honoka_Kousaka
1023,"Aragaki, Ayase(新垣 あやせ)",Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character CommentaryOre no Imouto ga Konnani Kawaii Wake ga NaiOre no Imouto ga Konnani Kawaii Wake ga Nai Specials,1751,https://myanimelist.net/character/37302/Ayase_Aragaki
1024,"Ludenberg, Celestia(セレスティア・ルーデンベルク)",Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The AnimationDanganronpa 3: The End of Kibougamine Gakuen - Mirai-henDanganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,1750,https://myanimelist.net/character/65525/Celestia_Ludenberg
1025,Myne(マイン),Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo ErandeiraremasenHonzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd SeasonHonzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,1748,https://myanimelist.net/character/163811/Myne
1026,Sephiroth(セフィロス),Final Fantasy VII: Advent ChildrenFinal Fantasy VII: Last OrderFinal Fantasy VII: Advent Children Complete,1748,https://myanimelist.net/character/1816/Sephiroth
1027,Batou(バトー),Koukaku KidoutaiKoukaku Kidoutai: Stand Alone ComplexInnocence,1746,https://myanimelist.net/character/2653/Batou
1028,"Momobami, Kirari(桃喰 綺羅莉)",KakeguruiKakegurui××Kakegurui Picture Drama,1745,https://myanimelist.net/character/123913/Kirari_Momobami
1029,Akashi(明石),Yojouhan Shinwa TaikeiYojouhan Shinwa Taikei SpecialsYojouhan Time Machine Blues,1743,https://myanimelist.net/character/31522/Akashi
1030,"Nakoshi, Susumu(名越 進)",,1739,https://myanimelist.net/character/8278/Susumu_Nakoshi
1031,"Yoshioka, Futaba(吉岡 双葉)",Ao Haru RideAo Haru Ride OVA,1735,https://myanimelist.net/character/41025/Futaba_Yoshioka
1032,"Sawabe, Tsubaki(澤部 椿)",Shigatsu wa Kimi no UsoShigatsu wa Kimi no Uso: Moments,1734,https://myanimelist.net/character/69409/Tsubaki_Sawabe
1033,"Urushibara, Ruka(漆原 るか)",Steins;GateSteins;Gate: Oukoubakko no PoriomaniaSteins;Gate Movie: Fuka Ryouiki no Déjà vu,1733,https://myanimelist.net/character/30919/Ruka_Urushibara
1034,"Novachrono, Julius(ユリウス・ノヴァクロノ)",Black CloverBlack Clover: Jump Festa 2018 SpecialMugyutto! Black Clover,1732,https://myanimelist.net/character/136804/Julius_Novachrono
1035,"Senji, Kiyomasa(千地 清正)",Deadman Wonderland: Akai Knife TsukaiDeadman Wonderland,1727,https://myanimelist.net/character/12944/Kiyomasa_Senji
1036,"Shokuhou, Misaki(食蜂 操祈)",Toaru Kagaku no Railgun TToaru Kagaku no Railgun SToaru Majutsu no Index 10-shuunen Kinen PV,1724,https://myanimelist.net/character/40136/Misaki_Shokuhou
1037,"Yanami, Anna(八奈見 杏菜)",Make Heroine ga Oosugiru!,1722,https://myanimelist.net/character/213637/Anna_Yanami
1038,"Sanka, Rea(散華 礼弥)",SankareaSankarea OVASankarea: Wagahai mo... Zombie de Aru...,1719,https://myanimelist.net/character/32884/Rea_Sanka
1039,"Hanma, Yuujirou(範馬 勇次郎)",Grappler Baki: Saidai Tournament-henBaki: Dai Raitaisai-henHanma Baki: Son of Ogre 2nd Season,1717,https://myanimelist.net/character/10499/Yuujirou_Hanma
1040,"Hashida, Itaru(橋田 至)",Steins;GateSteins;Gate: Soumei Eichi no Cognitive ComputingSteins;Gate 0,1716,https://myanimelist.net/character/35258/Itaru_Hashida
1041,"Kasugano, Sora(春日野 穹)",Yosuga no Sora,1716,https://myanimelist.net/character/33221/Sora_Kasugano
1042,"Kobayashi, Rindou(小林 竜胆)",Shokugeki no Souma: Ni no Sara OVAShokugeki no Souma: San no SaraShokugeki no Souma: San no Sara - Tootsuki Ressha-hen,1715,https://myanimelist.net/character/129046/Rindou_Kobayashi
1043,"Wong, Shorter(ショーター・ウォン)",Banana Fish,1713,https://myanimelist.net/character/29577/Shorter_Wong
