rank,name,anime,favorites,url,description,Age,Birthday,Nationality,Height,Occupation,image
1001,"Azazel, Amelie(アザゼル・アメリ)",Mairimashita! Iruma-kunMairimashita! Iruma-kun 2nd SeasonMairimashita! Iruma-kun 3rd Season,1802,https://myanimelist.net/character/154518/Amelie_Azazel,"Gender: female 
 Birthday: March 13th 
 Age: 17 
 Height: 1,90 cm 
 Weight: 69 kg 
  
 Azazel Ameri (or Amelie) is the student council president of Babyls. One of the few convinced humans exist, despite them only being myth in the Demon World, her theories are confirmed when she realizes Iruma to be one. 
  
 (Source: Mairimashita! Iruma-kun wiki) 
 
   Voice Actors  Hayami, SaoriJapanese  Buckland, KiraEnglish  Marroquín Payró, RominaSpanish  Ribas, JúliaPortuguese (BR)  
 
 by Taboolaby TaboolaYou May LikeThree Banks Introduce 5% Interest Rates on Savings for Seniors (Take a Look)Top Search Now | Savings Accounts|SponsoredSponsoredUndoXian ChongUndoAll New Hyundai Palisade For Seniors Simply Amazes - See The CostNew Hyundai Palisade 2024|SponsoredSponsoredUndoBang Babang Bang!!!Undo  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",17,,,"1,90 cm",,https://cdn.myanimelist.net/images/characters/10/390546.jpg
1002,"Ishida, Uryuu(石田 雨竜)",BleachBleach Movie 4: Jigoku-henBleach: Sennen Kessen-hen,1801,https://myanimelist.net/character/564/Uryuu_Ishida,"Age: 15 (formerly) – 17 
 Birthday: November 6 
 Zodiac: Scorpio 
 Species: Human (Quincy) 
 Height: 171 (formerly) – 177 cm 
 Weight: 55 kg (formerly) – 57 kg 
 Blood type: AB 
 Hair color: black 
 Eye color: blue 
 Occupation: High School Student, Quincy 
 Theme Song: ""Idioteque"" by Radiohead 
 Artifacts & Weapons: Quincy Bow & Spirit Arrows, Sanrei Glove, Quincy Bangle, Seele Schneider, & Silver Tubes 
 Known relatives: Ryuuken Ishida (father), Souken Ishida (grandfather, deceased),",15 (formerly) – 17,,,171 (formerly) – 177 cm,"High School Student, Quincy",https://cdn.myanimelist.net/images/characters/16/139189.jpg
1003,"Dracule, Mihawk(ジュラキュール・ミホーク)",One PieceOne Piece Film: Strong World Episode 0One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,1800,https://myanimelist.net/character/2064/Mihawk_Dracule,"Age: 41; 43 
 Birthday: March 9 
 Height: 198cm (6'6"") 
 Affiliation: Shichibukai 
 Bounty:",41; 43,,,"198cm (6'6"")",,https://cdn.myanimelist.net/images/characters/7/69747.jpg
1004,"Speeddraw, Fremy(フレミー・スピッドロウ)",Rokka no YuushaRokka no Yuusha Picture Drama,1799,https://myanimelist.net/character/88577/Fremy_Speeddraw,"Fremy has the appearance of a frail girl with white skin and white hair, an eye patch covering her right eye, a leather cape as well as leather clothes, and a black cloth covering her forehead. Her left eye is almost transparent blue and her glare is cold and distrustful. Her eye patch is there to hide the unnatural color of her right eye, and the cloth hides the scar left by the broken horn on her forehead. 
  
 Fremy is the Saint of ""Powder."" Her unique heredity allowed her to receive from the god a type of power that no one ever received before her, as ""Powder"" isn't among the 78 officially known types of Saints. As such, she's also the only Saint who isn't under the supervision of Mora. Her power allows her to freely create explosives during battles, and greatly increases the damage caused by her gun's bullets. In Rokka no Yuusha's world, guns aren't powerful enough to injure a kyouma, but in Fremy's case, she can easily kill most of the kyouma as well as most armored humans in one single shot. But because her gun needs to be reloaded after every fired shot, she's weak in close combat - as well as when she's surrounded.",,,,,,Error processing https://myanimelist.net/character/88577/Fremy_Speeddraw: 'src'
1005,"Marvell, Wendy(ウェンディ・マーベル)",Fairy TailFairy Tail OVAFairy Tail Movie 1: Houou no Miko,1793,https://myanimelist.net/character/28886/Wendy_Marvell,"Age: 12-16 
 Occupation: Mage 
 Affiliation: Cait Shelter, Fairy Tail Guild 
 Team: Team Natsu 
 Known relatives: Grandeeny (foster mother), Carla (foster sister) 
 Magic: Sky Dragon Slayer Magic 
  
 Wendy is the Dragon slayer of the Sky, which means that she has the same power as Natsu Dragneel and Gajeel Redfox, but with the ability to manipulate air. Wendy can eat air, but can't heal as well in polluted areas. Her magic allows her to heal people from the most serious of injuries, even those caused by a dragon, allowing her to use even a kiss to heal other people and can even counteract other magic; however, there seems to be a limit to how much she can use. 
 
   Voice Actors  Karbowski, BrittneyEnglish  Satou, SatomiJapanese  Fauveau, JenniferFrench  Saltarelli, JoyItalian  Andrés, EvaSpanish  Romero, NinaSpanish  Tkotsch, SarahGerman  Vidal, SicíliaPortuguese (BR)  González, NycolleSpanish  Grasso, EmmaItalian  Bachère, ValérieFrench  
 
 See MoreRecent Featured Articles Top 20 Loli Anime Characters You'll Want as Little SistersThey're young, or young looking, and they've been a staple in anime for a long time. Today, we're going to list twenty cute loli anime characters. (Note: this article is SFW. These characters are ""loli"" purely in the sense that they are or appear young.)bykaruhigamiDURV1,457,849viewsCollectionCute GirlsKawaiiMoeTop 15 Hot and Sexy Fairy Tail Girls: Powerful BeautiesWhat makes an awesome female character? Is it the sweet disposition of a ‘nice girl’ or the ruthless heart of a killer? Having a sidekick or going it alone? Decide for yourself! Straight outta Fiore, these are the top ten girls of Fairy Tail!byonyx3629,241viewsSpoilerCollectionCute GirlsKawaiiMagicalMoeHotGIFFairy Tail 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",12-16,,,,Mage,https://cdn.myanimelist.net/images/characters/11/196497.jpg
1006,Kamui(神威),GintamaGintama Movie 1: Shinyaku Benizakura-henGintama',1791,https://myanimelist.net/character/12946/Kamui,"Age: 18 
 Birthday: June 1 
 Zodiac: Gemini 
 Height: 170 cm 
 Weight: 55 kg 
  
 Kamui is a member of the Yato Tribe, the son of Umibouzu and older brother of Kagura. His excellent fighting skills helped him become Captain of the 7th Division of Harusame's Thunder Guns, the most powerful combat unit within the Harusame group and Overlord of Yoshiwara. Since defecting from the Harusame, he no longer holds these positions. 
  
 Kamui firmly believes that the Yato are to remain on the battlefield and shows his disapproval of Housen staying locked up in Yoshiwara. Because of this belief, he shows no pity towards family or subordinates as a sign of weakness is unacceptable. He tried to revive the abandoned tradition of Yato clan's men killing their own parent to prove their strength, although failed to successfully execute it and only cut his father's arm off. 
  
 Despite this, he pays respect to the opponents he kills by sending them off with a smile. He doesn't kill children, and dislikes killing women because they may give birth to strong children. 
 
   Voice Actors  Ayres, ChristopherEnglish  Hino, SatoshiJapanese  Rieke, NilsGerman  Anzai, ChikaJapanese  Ayres, GregEnglish  Colombo Giardinelli, AndreaItalian  Talamo, AlessioItalian  
 
 See MoreRecent Featured Articles A Detailed Overview of the Gintama CharactersIf you're interested in an anime that's constantly hilarious, but also has a great balance with serious plots, Gintama is an anime to check out. To start you off, read this article that features the main and minor characters you'll see in this unique anime series.byCamelot3142,418viewsSpoilerArch EnemiesCharacter AnalysisFriendshipFunnyMonsters 
 by Taboolaby TaboolaYou May LikeThe 2024 Elantra Is Back With A VengeanceTop Searcher Now | Auto|SponsoredSponsoredBang Babang Bang!!!Three Banks Introduce 5% Interest Rates on Savings for Seniors (Take a Look)Top Search Now | Savings Accounts|SponsoredSponsoredTsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? OVA  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",18,,,170 cm,,https://cdn.myanimelist.net/images/characters/2/261111.jpg
1007,"Kajou, Ayame(華城 綾女)",Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,1789,https://myanimelist.net/character/115691/Ayame_Kajou,"She is a second year high school student at Tokioka Academy and also the Vice President of the school's student council. At school she's conservative, pure and uptight, and she enforces discipline and upholds public morals around campus. However, known only to Okuma and later on with Otome, Kosuri and Hyouka, she also has an alter ego called ""The Blue in the Snow Field,"" a foul mouth exhibitionist who walks around in public not wearing much more than a pair of panties on her head and a smock to cover her naked body. She incites obscene acts of terrorism against the society who strictly upholds the public moral where dirty jokes and toilet humor have been outlawed. 
  
 In the anime she is called ""Blue Snow."" 
 
   Voice Actors  Ishigami, ShizukaJapanese  Marchi, JamieEnglish  Bauer, AliceGerman  
 
 See MoreRecent Featured Articles 15 Anime Panties: All the Different TypesG-string, white cotton, shimapan, you name it. It's time to give you the low-down on these...byMisterD981,363,313viewsCollectionCute GirlsFashionMoeHotTop 25 Anime Dances That Every Anime Fan Should KnowHip-hop, folk dance, discotheque, pop - name it! There has to be one anime dance that corresponds. Among these dances, a few of them stands out and are favored by more anime fans. In terms of popularity, catchiness, and overall tune, here are 25 dances every anime fans should know!byllezur17179,220viewsSpoilerCollectionCute GirlsCute GuysVideo 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/5/290512.jpg
1008,Keyaru(ケヤル／ケヤルガ),Kaifuku Jutsushi no Yarinaoshi,1787,https://myanimelist.net/character/176631/Keyaru,"Keyaru is the main protagonist of Redo of Healer. On his 14th birthday, he was chosen as one of the Heroes, the Hero Healing. 
  
 After years of torture at the hands of his own allies, he manages to break free and get the Philosopher's Stone. He then uses the item to go back four years time to exact revenge against the people who tortured him. 
  
 Pre-Betrayal 
 Initially, Keyaru was a very kind and gentle boy with dreams. When he discovered that he was one of the Heroes who would save the world, he was very excited but he was afraid to use his power when he found out that by healing people, he absorbed their memories and pain. 
  
 Post-Betrayal",,,,,,https://cdn.myanimelist.net/images/characters/15/422028.jpg
1009,"Lawrence, Kraft(クラフト・ロレンス)",Ookami to KoushinryouOokami to Koushinryou IIOokami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,1786,https://myanimelist.net/character/7374/Kraft_Lawrence,"Age: 25 
 Height: 178 cm (5' 10'') 
 Weight: 60 kg 
  
 Kraft Lawrence, who chiefly goes by his surname, is a twenty-five-year-old traveling peddler who goes from town to town buying and selling various things in order to make a living. When he was twelve, he became an apprentice to a merchant relative, and set out on his own at eighteen. His goal in life is to gather enough money to start his own shop, and he has already been traveling for seven years while gaining experience in the trade. He meets Holo one night and eventually agrees to her traveling with him. She helps him by providing her wisdom which helps to increase his profits and get him out of jams. 
  
 Lawrence usually goes by his surname, only some who have known him for a long time, like Jakob Tarantino, the master of his guild, call him by his first name Kraft in the novel. 
 
   Voice Actors  Fukuyama, JunJapanese  Tatum, J. MichaelEnglish  Wilhelm, MarcFrench  Ferraz, FernandoPortuguese (BR)  Thiele, Louis FriedemannGerman  Román, Juan CarlosSpanish  Nowak, PascalFrench  
 
 See MoreRecent Featured Articles Top 14 Anime That Will Make You HappyBeen watching too much Berserk? Need something to brighten your day? Give one of these shows a whirl! Every anime on this list is guaranteed to put a smile on your face, even if you've just watched Grave of the Fireflies.byJankenpopp692,719viewsRecommendationCollectionFunnyHeart-warmingTop 15 Anime Wolf Characters: Howling in the NightWhether noble or savage, wise or feral, wolves have always had a place in our hearts. In this list, we'll showcase 15 of the most famous anime wolf characters. Read on to see if your favorite made the list!by removed_user722,173viewsCollectionAnimalsMonstersSupernatural 
 by Taboolaby TaboolaYou May LikeThe 2024 Elantra Is Back With A VengeanceTop Searcher Now | Auto|SponsoredSponsoredBang Babang Bang!!!Three Banks Introduce 5% Interest Rates on Savings for Seniors (Take a Look)Top Search Now | Savings Accounts|SponsoredSponsoredTrust  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",25,,,178 cm (5' 10''),,Error processing https://myanimelist.net/character/7374/Kraft_Lawrence: 'src'
1010,"Kani, Nayuta(可児 那由多)",Imouto sae Ireba Ii.Imouto sae Ireba Ii. (ONA),1784,https://myanimelist.net/character/125799/Nayuta_Kani,"Nayuta is a genius novelist who is in love with Itsuki. She is 18 years old. She debuted as a novelist after she won a newcomer prize. Nayuta Kani is her pseudonym and even Itsuki does not know her real name. She cannot write if she is not naked. Starting in junior high school, she refused to go to school after getting bullied. 
  
 (Source: Wikipedia) 
 
   Voice Actors  Kanemoto, HisakoJapanese  Marchi, JamieEnglish  
 
 by Taboolaby TaboolaYou May Like2025 Newly Built Homes in Florida - The Prices May Surprise YouBestSearchNow | Search Ads|SponsoredSponsoredBang Babang Bang!!!Our Tour Guide Risked His Life To Help This Lioness Give Birth, But He Wasn't Ready For What Would Happen Nextuniversalinfonet.com|SponsoredSponsoredTsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? OVA  $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });",,,,,,https://cdn.myanimelist.net/images/characters/12/338865.jpg
