rank,name,anime,favorites,url
1,"Lamperouge, Lelouch(ルルーシュ・ランペルージ)",Code Geass: Hangyaku no LelouchCode Geass: Hangyaku no Lelouch Picture DramaCode Geass: Hangyaku no Lelouch Recaps,173552,https://myanimelist.net/character/417/Lelouch_Lamperouge
2,"Monkey D., Luffy(モンキー・D・ルフィ)",One PieceOne Piece Movie 01One Piece Movie 02: Nejimaki-jima no Daibouken,143840,https://myanimelist.net/character/40/Luffy_Monkey_D
3,Levi(リヴァイ),Shingeki no Kyojin: Kuinaki SentakuShingeki no Kyojin Season 3Shingeki no Kyojin Season 3 Part 2,143364,https://myanimelist.net/character/45627/Levi
4,"Lawliet, L(エル ローライト)",Death NoteDeath Note: Rewrite,128375,https://myanimelist.net/character/71/L_Lawliet
5,"Roronoa, Zoro(ロロノア・ゾロ)",One PieceOne Piece Movie 01One Piece Movie 02: Nejimaki-jima no Daibouken,113243,https://myanimelist.net/character/62/Zoro_Roronoa
6,"Zoldyck, Killua(キルア・ゾルディック)",Hunter x HunterHunter x Hunter: Original Video AnimationHunter x Hunter: Greed Island,98816,https://myanimelist.net/character/27/Killua_Zoldyck
7,"Yagami, Light(夜神 月)",Death NoteDeath Note: Rewrite,97794,https://myanimelist.net/character/80/Light_Yagami
8,"Okabe, Rintarou(岡部 倫太郎)",Steins;GateSteins;Gate: Oukoubakko no PoriomaniaSteins;Gate Movie: Fuka Ryouiki no Déjà vu,96918,https://myanimelist.net/character/35252/Rintarou_Okabe
9,"Elric, Edward(エドワード・エルリック)",Fullmetal AlchemistFullmetal Alchemist: The Conqueror of ShamballaFullmetal Alchemist: Reflections,88884,https://myanimelist.net/character/11/Edward_Elric
10,"Uzumaki, Naruto(うずまき ナルト)",NarutoNaruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,85580,https://myanimelist.net/character/17/Naruto_Uzumaki
11,Guts(ガッツ),Kenpuu Denki BerserkBerserk: Ougon Jidai-hen I - Haou no TamagoBerserk: Ougon Jidai-hen II - Doldrey Kouryaku,84229,https://myanimelist.net/character/422/Guts
12,"Sakata, Gintoki(坂田 銀時)",GintamaGintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga ChoudoyoiGintama: Shiroyasha Koutan,74974,https://myanimelist.net/character/672/Gintoki_Sakata
13,"Yeager, Eren(エレン・イェーガー)",Shingeki no KyojinShingeki no Kyojin OVAShingeki no Kyojin: Ano Hi Kara,72326,https://myanimelist.net/character/40882/Eren_Yeager
14,"Makise, Kurisu(牧瀬 紅莉栖)",Steins;GateSteins;Gate: Oukoubakko no PoriomaniaSteins;Gate Movie: Fuka Ryouiki no Déjà vu,66793,https://myanimelist.net/character/34470/Kurisu_Makise
15,"Uchiha, Itachi(うちは イタチ)",Naruto: Shippuuden - Sunny Side BattleNarutoNaruto: Shippuuden,66357,https://myanimelist.net/character/14/Itachi_Uchiha
16,"Gojou, Satoru(五条 悟)",Jujutsu Kaisen Official PVsJujutsu KaisenJujutsu Kaisen 0 Movie,62202,https://myanimelist.net/character/164471/Satoru_Gojou
17,"Ackerman, Mikasa(ミカサ・アッカーマン)",Shingeki no KyojinShingeki no Kyojin: Ano Hi KaraShingeki no Kyojin Picture Drama,55707,https://myanimelist.net/character/40881/Mikasa_Ackerman
18,"Kaneki, Ken(金木 研)",Tokyo GhoulTokyo Ghoul √ATokyo Ghoul:re,52944,https://myanimelist.net/character/87275/Ken_Kaneki
19,"Hikigaya, Hachiman(比企谷 八幡)",Yahari Ore no Seishun Love Comedy wa Machigatteiru.Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVAYahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,52267,https://myanimelist.net/character/67065/Hachiman_Hikigaya
20,"Hatake, Kakashi(はたけ カカシ)",NarutoNaruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!Naruto: Akaki Yotsuba no Clover wo Sagase,48220,https://myanimelist.net/character/85/Kakashi_Hatake
21,Saitama(サイタマ),One Punch ManOne Punch Man: Road to HeroOne Punch Man Specials,47951,https://myanimelist.net/character/73935/Saitama
22,"Spiegel, Spike(スパイク・スピーゲル)",Cowboy BebopCowboy Bebop: Tengoku no TobiraCowboy Bebop: Yose Atsume Blues,47915,https://myanimelist.net/character/1/Spike_Spiegel
23,Rem(レム),Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner MovieRe:Zero kara Hajimeru Isekai Seikatsu - Memory Snow AnnouncementRe:Zero kara Hajimeru Isekai Seikatsu,46118,https://myanimelist.net/character/118763/Rem
24,"Joestar, Joseph(ジョセフ・ジョースター)",JoJo no Kimyou na Bouken: AdventureJoJo no Kimyou na BoukenJoJo no Kimyou na Bouken (TV),42290,https://myanimelist.net/character/6356/Joseph_Joestar
25,Megumin(めぐみん),Kono Subarashii Sekai ni Shukufuku wo!Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!Kono Subarashii Sekai ni Shukufuku wo! 2,41625,https://myanimelist.net/character/117225/Megumin
26,"Senjougahara, Hitagi(戦場ヶ原 ひたぎ)",BakemonogatariBakemonogatari RecapMonogatari Series: Second Season,40773,https://myanimelist.net/character/22037/Hitagi_Senjougahara
27,"Kirigaya, Kazuto(桐ヶ谷 和人)",Sword Art OnlineSword Art Online: Sword Art OfflineSword Art Online: Extra Edition,40367,https://myanimelist.net/character/36765/Kazuto_Kirigaya
28,"Reigen, Arataka(霊幻 新隆)",Mob Psycho 100Mob Psycho 100: Reigen - Shirarezaru Kiseki no ReinouryokushaMob Psycho Mini,39550,https://myanimelist.net/character/109931/Arataka_Reigen
29,Yato(夜ト),NoragamiNoragami OVANoragami Aragoto,39360,https://myanimelist.net/character/84677/Yato
30,"Sakurajima, Mai(桜島 麻衣)",Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo MinaiSeishun Buta Yarou wa Yumemiru Shoujo no Yume wo MinaiSeishun Buta Yarou wa Odekake Sister no Yume wo Minai,39053,https://myanimelist.net/character/118739/Mai_Sakurajima
31,"Mustang, Roy(ロイ・マスタング)",Fullmetal Alchemist: Brotherhood SpecialsFullmetal Alchemist: The Sacred Star of Milos SpecialsFullmetal Alchemist,37937,https://myanimelist.net/character/68/Roy_Mustang
32,"Evergarden, Violet(ヴァイオレット・エヴァーガーデン)","Violet EvergardenViolet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no DarouViolet Evergarden Movie",37388,https://myanimelist.net/character/141354/Violet_Evergarden
33,Zero Two(ゼロツー),Darling in the FranXX,37259,https://myanimelist.net/character/155679/Zero_Two
34,"Ayanokouji, Kiyotaka(綾小路 清隆)",Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PVYoukoso Jitsuryoku Shijou Shugi no Kyoushitsu eYoukoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,36296,https://myanimelist.net/character/128909/Kiyotaka_Ayanokouji
35,"Dazai, Osamu(太宰 治)",Bungou Stray DogsBungou Stray Dogs 2nd SeasonBungou Stray Dogs: Dead Apple,35927,https://myanimelist.net/character/125056/Osamu_Dazai
36,"Kurosaki, Ichigo(黒崎 一護)",BleachBleach: Memories in the RainBleach: The Sealed Sword Frenzy,35329,https://myanimelist.net/character/5/Ichigo_Kurosaki
37,"Morow, Hisoka(ヒソカ・モロウ)",Hunter x HunterHunter x Hunter: Original Video AnimationHunter x Hunter: Greed Island,35316,https://myanimelist.net/character/31/Hisoka_Morow
38,Kamina(カミナ),Tengen Toppa Gurren LagannTengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,33744,https://myanimelist.net/character/2075/Kamina
39,"Oshino, Shinobu(忍野 忍)",Kizumonogatari I: Tekketsu-henNisemonogatariMonogatari Series: Second Season,32927,https://myanimelist.net/character/23602/Shinobu_Oshino
40,"Onizuka, Eikichi(鬼塚 英吉)",Great Teacher OnizukaShonan Junai Gumi!Great Teacher Onizuka Recaps,32675,https://myanimelist.net/character/434/Eikichi_Onizuka
41,Saber(セイバー),Fate/stay nightFate/stay night Movie: Unlimited Blade WorksFate/stay night TV Reproduction,32496,https://myanimelist.net/character/497/Saber
42,Sanji(サンジ),One PieceOne Piece Movie 02: Nejimaki-jima no DaiboukenOne Piece Movie 03: Chinjuu-jima no Chopper Oukoku,32129,https://myanimelist.net/character/305/Sanji
43,"Aisaka, Taiga(逢坂 大河)",Toradora!Toradora!: SOS! Kuishinbou BanbanzaiToradora!: Bentou no Gokui,31750,https://myanimelist.net/character/12064/Taiga_Aisaka
